Time,Profile,PWM,bus1dev1,bus1dev0,bus0dev0,PlateAverage,error,kp,ki,kd
174.789405,100.0,0.4357374550318892,76.0,82.25,77.25,78.5,23.051833333333427,0.01830927492379389,1.3673700675179304e-05,-2.841697397435732e-06
176.300091,100.0,0.4246952168461038,76.75,83.0,78.0,79.25,22.29050000000002,0.018431333729238983,1.3850192671797622e-05,-2.8606415768863643e-06
177.805314,100.0,0.4138053374877824,77.5,83.75,78.5,79.91666666666667,21.55266666666663,0.01854904488513122,1.402252943935194e-05,-2.8789109778724897e-06
179.307698,100.0,0.4028050754108669,78.25,84.5,79.25,80.66666666666667,20.822833333333346,0.01866280805898205,1.419117132399629e-05,-2.8965676309295547e-06
180.810984,100.0,0.3924528735681939,78.75,85.0,80.0,81.25,20.14033333333332,0.01877302914410401,1.4356531482374567e-05,-2.913674532870626e-06
182.317656,100.0,0.38138935316547573,79.75,86.0,80.5,82.08333333333333,19.431833333333334,0.018879810454089617,1.4518644468829252e-05,-2.9302475633125e-06
183.823285,100.0,0.37044301242823396,80.25,86.5,81.25,82.66666666666667,18.741666666666703,0.018982577625812954,1.467656919395022e-05,-2.94619757802599e-06
185.324915,100.0,0.3593076223758786,81.0,87.25,81.75,83.33333333333333,18.05249999999998,0.019081859019997444,1.4830982282729155e-05,-2.961606581421368e-06
186.833905,100.0,0.3478890834041848,81.5,87.75,82.5,83.91666666666667,17.358833333333322,0.019177878289181327,1.4982189182424478e-05,-2.9765092855688054e-06
188.340254,100.0,0.3367576561797056,82.25,88.5,83.25,84.66666666666667,16.69033333333328,0.019270247219101793,1.5129463300277068e-05,-2.990845437538298e-06
189.851573,100.0,0.3259239963360763,82.75,89.0,83.75,85.16666666666667,16.046499999999956,0.019359330615463462,1.5273258575184154e-05,-3.004671657126416e-06
191.356248,100.0,0.3157354513398877,83.25,89.5,84.25,85.66666666666667,15.444666666666595,0.019444967868264617,1.5413154803322175e-05,-3.0179630168018457e-06
192.860573,100.0,0.30543225912193683,84.0,90.25,84.75,86.33333333333333,14.84483333333328,0.01952743624302375,1.554951412924142e-05,-3.0307625496560455e-06
194.372325,100.0,0.2953154138325744,84.25,90.75,85.5,86.83333333333333,14.261666666666635,0.01960719260975052,1.5682999441141945e-05,-3.043141164358135e-06
195.873381,100.0,0.2858988678449997,84.75,91.0,86.0,87.25,13.721333333333302,0.019683610004051992,1.5812444898914574e-05,-3.05500155268094e-06
197.37606,100.0,0.27638214865888466,85.5,91.75,86.5,87.91666666666667,13.18233333333331,0.019756959766869194,1.5938185526695134e-05,-3.0663858281898106e-06
198.881938,100.0,0.2668303517350649,86.0,92.25,87.0,88.41666666666667,12.647666666666614,0.019827301153852374,1.6060209139761172e-05,-3.077303187678592e-06
200.393254,100.0,0.2578411646331798,86.5,92.75,87.5,88.91666666666667,12.14666666666662,0.0198952230740587,1.6179423567901628e-05,-3.0878450329828117e-06
201.901708,100.0,0.2486525274447618,87.0,93.25,88.0,89.41666666666667,11.640833333333305,0.01996044475014542,1.6295216026883074e-05,-3.097967785957101e-06
203.412851,100.0,0.23991176426114783,87.25,93.5,88.5,89.75,11.162166666666664,0.020023246078344513,1.640801414921532e-05,-3.1077148879937236e-06
204.922908,100.0,0.23197135399703192,87.75,93.75,88.75,90.08333333333333,10.727666666666677,0.020083811843648835,1.6518058415451817e-05,-3.117115018711912e-06
206.425627,100.0,0.224379144356868,88.0,94.25,89.0,90.41666666666667,10.314499999999972,0.020141893618868312,1.6624802068342046e-05,-3.126129620883021e-06
207.928788,100.0,0.21710842928303242,88.5,94.75,89.5,90.91666666666667,9.920833333333318,0.020197793187944242,1.672870774723147e-05,-3.134805532988876e-06
209.432685,100.0,0.21027523688925742,88.75,95.0,89.75,91.16666666666667,9.552000000000017,0.020251718655296756,1.6830079020127382e-05,-3.1431750539485438e-06
210.941242,100.0,0.203728538453491,89.0,95.25,90.0,91.41666666666667,9.200166666666643,0.020303834858819435,1.6929136185437988e-05,-3.1512637674847648e-06
212.44667,100.0,0.19725414355688234,89.5,95.5,90.5,91.83333333333333,8.854666666666693,0.020353998393498357,1.7025530334331386e-05,-3.159049416372365e-06
213.955433,100.0,0.19123672121001756,89.75,95.75,90.75,92.08333333333333,8.534000000000024,0.020402630701746888,1.712001730176095e-05,-3.1665974107280236e-06
215.456784,100.0,0.18568680085777092,89.75,96.25,91.0,92.33333333333333,8.238500000000016,0.02044958919452702,1.7212249244574473e-05,-3.173885619970397e-06
216.966992,100.0,0.18059755125829594,90.25,96.25,91.25,92.58333333333333,7.967333333333333,0.020495405606832516,1.730321350039595e-05,-3.180996572214556e-06
218.475662,100.0,0.17608222133675716,90.25,96.5,91.5,92.75,7.725833333333315,0.020540043098567475,1.739279189080125e-05,-3.1879245496805715e-06
219.986742,100.0,0.17193323899829246,90.5,96.5,91.5,92.83333333333333,7.50366666666663,0.020583515433492974,1.7480963640242782e-05,-3.1946716885777915e-06
221.491776,100.0,0.16836160580233614,90.75,96.75,91.75,93.08333333333333,7.310833333333308,0.020625984598906997,1.756798682114273e-05,-3.2012631302012606e-06
222.993423,100.0,0.1651409859833929,91.0,97.0,92.0,93.33333333333333,7.1361666666666554,0.02066748160620372,1.765390418296894e-05,-3.2077036876852214e-06
224.493944,100.0,0.16191728219106508,91.0,97.0,92.0,93.33333333333333,6.962499999999975,0.02070786909948519,1.7738390275976896e-05,-3.2139720426596558e-06
225.996997,100.0,0.1591554032654212,91.25,97.0,92.0,93.41666666666667,6.811999999999988,0.02074760989003171,1.7822373904483245e-05,-3.22014002591066e-06
227.501526,100.0,0.15642416379587332,91.5,97.25,92.25,93.66666666666667,6.663833333333338,0.02078657820186176,1.790556211725069e-05,-3.2261881163331777e-06
229.007875,100.0,0.15389542292732078,90.0,97.25,92.25,93.16666666666667,6.526166666666663,0.02082495290081854,1.7988309471095622e-05,-3.232144074862759e-06
230.510679,100.0,0.15175429675869717,91.75,97.5,92.75,94.0,6.40783333333334,0.020862552499562755,1.8070181748435385e-05,-3.2379797336936368e-06
232.021899,100.0,0.14921439173252282,91.75,97.5,92.75,94.0,6.271166666666672,0.020899318137044195,1.8151016756218293e-05,-3.2436859572759944e-06
233.531349,100.0,0.147182810246529,91.75,97.5,92.75,94.0,6.15933333333333,0.02093580494863528,1.8232030660810182e-05,-3.2493489055888334e-06
235.038413,100.0,0.1456094105727699,92.0,97.5,93.0,94.16666666666667,6.069833333333318,0.020971902736646692,1.8312963511227228e-05,-3.25495147536137e-06
236.541928,100.0,0.14381478075661483,92.0,97.25,93.0,94.08333333333333,5.970333333333343,0.021007418796244872,1.8393360098369846e-05,-3.2604637577727305e-06
238.043912,100.0,0.14299114317026299,92.0,97.5,93.0,94.16666666666667,5.917333333333362,0.02104275089395942,1.8474081887088943e-05,-3.265947488315812e-06
239.554352,100.0,0.14207553579568652,92.25,97.5,93.0,94.25,5.8601666666666725,0.02107793062033785,1.85552142457762e-05,-3.2714075700125546e-06
241.058187,100.0,0.14137281722796213,92.25,97.5,93.0,94.25,5.813333333333327,0.021112874872455594,1.8636547825239927e-05,-3.276831104844576e-06
242.567895,100.0,0.1409920571802881,92.25,97.5,93.0,94.25,5.781833333333329,0.021147841144473628,1.8718675912140967e-05,-3.282258057282898e-06
244.074984,100.0,0.14059396702966526,92.25,97.5,93.25,94.33333333333333,5.749666666666652,0.021182592137138793,1.8801034591806794e-05,-3.287651597214204e-06
245.586231,100.0,0.14029226564745084,92.25,97.5,93.25,94.33333333333333,5.722166666666655,0.021217208002115556,1.8883819429909264e-05,-3.2930241646055274e-06
247.098148,100.0,0.13992434928592,92.5,97.5,93.25,94.41666666666667,5.691666666666674,0.021251645504761253,1.8966929739866754e-05,-3.2983690492090773e-06
248.60635,100.0,0.13954640497787427,92.5,97.5,93.25,94.41666666666667,5.660833333333358,0.02128590435779049,1.9050356351225426e-05,-3.303686206436628e-06
250.117391,100.0,0.13935629293578974,92.5,97.5,93.25,94.41666666666667,5.63883333333333,0.02132027071554987,1.913479382891186e-05,-3.309020048973295e-06
251.622166,100.0,0.1395142529840394,92.5,97.25,93.25,94.33333333333333,5.633166666666659,0.02135464495649048,1.9219978836635966e-05,-3.314355115021855e-06
253.13282,100.0,0.13988817348301338,92.5,97.25,93.25,94.33333333333333,5.637499999999978,0.02138922992014134,1.9306435747037016e-05,-3.31972288636212e-06
254.640435,100.0,0.14048515938348835,92.5,97.25,93.25,94.33333333333333,5.652166666666651,0.021423886916048126,1.9393825158907713e-05,-3.325101837493778e-06
256.149789,100.0,0.14114603836919146,92.5,97.25,93.25,94.33333333333333,5.669666666666657,0.021458699803375256,1.948236338398841e-05,-3.3305049838076765e-06
257.657984,100.0,0.14178807859417966,92.5,97.25,93.0,94.25,5.686166666666661,0.021493606591039747,1.957189520670733e-05,-3.3359227039561676e-06
259.162774,100.0,0.14250451056363633,92.5,97.0,93.0,94.16666666666667,5.706000000000003,0.021528601070469527,1.966240446473918e-05,-3.3413540343356595e-06
260.665651,100.0,0.14327852601912372,92.5,97.0,93.0,94.16666666666667,5.728333333333345,0.021563769518790524,1.975411012400635e-05,-3.346812365617565e-06
262.171287,100.0,0.1443292531103384,92.5,97.0,93.0,94.16666666666667,5.763166666666684,0.021599477578484728,1.984795158335886e-05,-3.352354447470761e-06
263.682388,100.0,0.14530828015263897,92.5,97.0,93.0,94.16666666666667,5.7945000000000295,0.021635269151428455,1.9942759452595426e-05,-3.3579094910269673e-06
265.187589,100.0,0.14626479215639776,92.5,97.0,93.0,94.16666666666667,5.82466666666669,0.021671042647988106,2.003828496301417e-05,-3.363461729031677e-06
266.695781,100.0,0.14723417735771,92.5,97.0,93.0,94.16666666666667,5.855166666666659,0.021707123057657852,2.0135398228617216e-05,-3.3690616015926397e-06
268.201435,100.0,0.14784439385129128,92.5,96.75,93.0,94.08333333333333,5.868999999999997,0.021743241372883026,2.023335475921763e-05,-3.3746673572985416e-06
269.706971,100.0,0.14862813704908584,92.25,96.75,93.0,94.0,5.890666666666655,0.021779502794451237,2.0332434517331436e-05,-3.3802953238743037e-06
271.218975,100.0,0.14935437702580653,92.5,96.75,93.0,94.08333333333333,5.909499999999984,0.021815986013322766,2.0432854496592147e-05,-3.385957714577851e-06
